LOGIN,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3
71347,71348,8,33290,33775,33326,33604,6,34218,33283,33323,33285
71346,37592,8,33369,33366,33289,33370,6,34836,2,33365,4
71333,36214,8,33904,36213,9,33833,6,48385,2,34181,4
71326,37491,8,33290,37386,33289,33905,6,38816,33299,34471,33301
71324,71325,8,33313,36385,33289,33657,6,34389,2,33730,4
71310,71311,44965,33290,34662,34576,34577,6,34571,33283,36494,33285
71283,33489,8,33313,33438,33275,11,6,33488,2,3,4
71281,7,8,33455,33453,9,11,6,71282,2,3,4
71266,71267,8,33290,34433,33431,600,6,53239,33283,34432,33285
71261,34557,8,33290,35132,9,33430,6,52863,33283,33447,33285
71258,34727,8,33296,33307,33309,11,6,34230,2,3,4
71255,68075,8,33290,49892,33431,33291,6,49891,33283,36150,33285
71238,33691,8,33290,39452,9,33430,6,41246,33283,33447,33285
71218,55863,33751,33290,33667,33431,33291,6,39095,33283,33666,33285
71163,41767,8,33313,33438,33309,11,6,48902,2,3,4
71137,66561,8,33290,34328,33289,33678,6,33786,33316,34327,33317
71124,71125,8,33290,35571,33431,33291,6,35569,33283,35570,33285
71108,45074,8,33290,33775,9,38385,6,41620,33283,33323,33285
71104,33518,8,33290,33798,33289,33430,6,35697,33283,33447,33285
71060,36249,8,33904,34016,33431,33430,6,34015,2,33730,4
71050,54549,8,33455,33453,33326,11,6,46567,2,3,4
71021,36473,8,33408,33366,33289,33370,6,36794,2,33365,4
71003,71004,8,33904,42245,33326,33430,6,59164,2,33730,4
70998,43222,8,33313,33438,33289,36029,6,41320,2,3,4
70994,40887,8,33290,34597,9,33347,6,36559,33347,34597,33502
70965,44279,34912,33290,48317,33289,33930,6,40095,33283,33284,33285
70955,35375,8,33290,34891,33289,33450,6,63422,33299,33790,33301
70947,70948,8,33290,34862,33431,33526,6,61694,33521,34861,33523
70942,70943,8,33290,38769,33326,33430,6,46501,33299,38768,33301
70941,33518,8,33290,33866,9,33430,6,40884,33299,33866,33301
70923,70924,8,33290,34063,33431,33370,6,40225,2,33365,4
70922,34568,8,33290,40724,9,34569,6,33475,33416,35971,33418
70899,70900,8,38785,38783,33431,33291,6,59160,33283,33584,33285
70898,48781,8,33290,36490,33431,33430,6,45602,33283,33284,33285
70881,70882,33344,33346,50801,33431,33430,6,35164,33339,33895,33341
70878,35467,8,34210,34222,9,33968,6,38150,33416,34207,33418
70875,33336,8,33276,33541,33275,11,6,36271,2,3,4
70873,33489,8,10,33307,33275,11,6,35352,2,3,4
70852,37757,8,33296,33307,33309,11,6,43102,2,3,4
70839,70840,8,33290,33812,9,33430,6,49946,33299,33601,33301
