LOGIN,ACTION,TARGET_NAME,PERSON_BUSINESS_TITLE,PERSON_BUSINESS_TITLE_DETAIL,PERSON_COMPANY,PERSON_DEPTNAME,PERSON_JOB_CODE,PERSON_JOB_FAMILY,PERSON_LOCATION,PERSON_MGR_ID,PERSON_ROLLUP_1,PERSON_ROLLUP_2,PERSON_ROLLUP_3,REQUEST_DATE
68709,remove_access,9811,68710,33777,33290,36151,33289,33291,6,36149,33283,36150,33285,2007-04-27 10:48:33
53020,add_access,10160,53021,8,33290,35374,33345,11,6,42248,33426,33675,33428,2006-06-01 11:24:39
64547,remove_access,9811,34970,8,33290,43529,33431,33347,6,64548,33347,43529,33502,2010-06-01 10:11:28
60833,add_access,6377,34936,8,33290,34363,9,33712,6,38127,33316,33385,33317,2009-12-15 10:26:47
71353,add_access,10981,37194,8,33269,33266,33431,33389,6,57706,2,3,4,2010-04-20 14:15:39
42236,add_access,8872,33478,8,33290,34793,33431,33430,6,42237,33299,33601,33301,2010-03-17 11:50:22
33796,add_access,8246,33799,8,33290,33798,33431,33430,6,33797,33283,33447,33285,2007-09-21 22:34:30
71577,add_access,8557,40456,8,33290,37961,33431,33291,6,43483,33283,33885,33285,2008-11-20 11:06:18
42281,add_access,9683,42283,8,33290,34412,9,34780,6,42282,33283,34411,33285,2005-07-13 07:46:13
66180,add_access,9871,43933,8,33290,34793,33431,33430,6,66181,33299,33601,33301,2009-01-27 12:47:10
76777,remove_access,9967,36004,8,33290,33621,9,34569,6,60015,33426,33621,33428,2007-04-24 20:27:23
64341,add_access,3221,34936,8,33290,49581,9,33712,6,34431,33283,34432,33285,2009-08-10 11:27:30
50077,add_access,10599,33518,8,33290,35374,9,33430,6,36246,33426,33675,33428,2007-09-07 08:55:01
74319,add_access,9806,33308,8,33313,33438,33309,11,6,34300,2,3,4,2009-04-20 07:50:19
64144,add_access,8813,33518,8,33388,37014,9,33430,6,47822,33316,37013,33317,2006-01-16 14:44:29
44385,add_access,7174,33518,8,33290,37863,9,33430,6,37862,33316,34024,33317,2010-06-21 13:43:12
33719,add_access,9511,33720,8,33290,33676,33289,33678,6,33674,33426,33675,33428,2010-06-22 08:28:28
73236,add_access,11310,33336,8,33296,33279,33275,11,6,33734,2,3,4,2009-10-12 02:01:03
69868,add_access,8062,33770,8,33290,33769,33289,33347,6,33767,2,33768,4,2009-03-13 08:56:23
58910,add_access,2492,58912,8,33904,34063,9,33461,6,58911,2,33365,4,2010-05-03 10:32:25
50260,remove_access,5478,50261,8,33290,34862,33289,33526,6,38204,33521,34861,33523,2010-08-30 11:40:38
76175,remove_access,9811,33531,8,33290,37995,33326,33430,6,48238,33357,37994,33359,2008-05-06 08:37:19
35118,add_access,10837,35120,8,33313,34200,9,33657,6,35119,2,33730,4,2006-03-15 09:26:45
66357,add_access,8220,33413,8,33369,33406,33309,33370,6,34098,2,33365,4,2010-07-07 11:58:20
42719,add_access,8240,33862,8,33290,42721,33431,33863,6,42720,33316,33385,33317,2007-12-13 08:44:18
42559,remove_access,7733,33478,8,33290,37709,9,33430,6,40900,33283,33447,33285,2010-01-04 14:07:51
69667,add_access,4106,33622,8,33290,34752,33431,33604,6,37653,33299,34471,33301,2009-03-11 15:31:48
72297,add_access,8557,72298,36228,33290,35228,33345,34577,6,41243,33283,35227,33285,2007-12-10 10:49:01
64920,add_access,4024,43061,8,33290,35314,33431,39244,6,39242,33521,35314,33523,2009-12-17 08:21:46
55651,add_access,3200,55652,8,33290,34491,33345,34577,6,34571,33283,33358,33285,2009-06-29 11:01:53
62788,add_access,2292,38320,8,33320,33386,33289,33657,6,33655,33316,33385,33317,2008-12-18 15:40:31
68873,remove_access,5994,33622,8,33290,37667,9,33604,6,46365,33299,33395,33301,2009-09-18 21:22:53
75920,add_access,10300,33518,8,33290,34251,9,33430,6,36580,2,33730,4,2005-11-08 10:00:00
62769,remove_access,9211,33677,8,33290,34041,33309,33678,6,38056,33426,33675,33428,2008-12-17 15:20:19
46171,add_access,9669,46172,8,33290,33429,33345,33430,6,42490,33426,33427,33428,2007-09-06 08:30:11
61247,add_access,2660,45927,8,33290,34662,33289,33291,6,61248,33283,36494,33285,2010-06-06 20:50:07
74048,add_access,7101,40091,8,33290,33775,33431,33291,6,39389,33283,33323,33285,2010-06-14 21:34:10
48378,remove_access,7617,33336,8,33313,33438,33275,11,6,34719,2,3,4,2009-11-06 12:30:22
49416,add_access,2664,49417,8,33290,33530,33431,33461,6,48235,33416,33529,33418,2010-08-18 12:03:20
73761,add_access,3510,35886,8,33290,34222,9,33968,6,48556,33426,33853,33428,2009-07-17 15:48:04
72691,add_access,9212,72692,8,33290,37386,33326,33863,6,43772,33299,34471,33301,2010-01-04 08:53:35
72419,add_access,8220,41957,8,33408,33366,33309,33370,6,34667,2,33365,4,2009-08-06 10:54:58
71346,add_access,9682,37592,8,33369,33366,33289,33370,6,34836,2,33365,4,2010-03-01 12:06:18
64940,add_access,9959,64941,8,33290,35132,9,33604,6,52863,33283,33447,33285,2008-05-16 16:11:47
52890,add_access,2362,52892,8,33290,33549,33289,33526,6,52891,33521,34787,33523,2009-12-16 09:51:15
39299,add_access,6741,39301,8,33290,34465,9,34435,6,39300,33283,34432,33285,2010-08-30 14:23:47
42387,remove_access,9123,33280,8,33313,33438,33268,33270,6,35587,2,33265,4,2008-10-26 15:17:41
47806,add_access,10963,33387,8,33313,33467,9,33389,6,47453,2,3,4,2009-03-05 08:29:19
38119,add_access,8090,33691,8,33290,38121,33289,33430,6,38120,2,34181,4,2010-07-21 11:53:36
74678,add_access,7014,74679,8,33290,56352,33326,33291,6,47902,33283,33584,33285,2009-10-26 17:28:49
41996,remove_access,9596,33518,8,33290,35625,9,33430,6,41997,33316,34256,33317,2007-12-17 14:36:48
75361,add_access,10734,75362,8,34210,35516,9,35069,6,38150,33416,34207,33418,2009-02-02 08:36:08
60132,add_access,9674,60133,8,33904,34063,33431,33430,6,34062,2,33365,4,2009-12-29 08:44:32
49982,add_access,7489,33677,8,33290,38458,33289,33678,6,36234,33299,34397,33301,2010-01-04 09:18:01
64326,remove_access,7654,39958,8,33290,33861,33431,33863,6,33860,33299,33395,33301,2009-10-07 11:10:04
39174,add_access,3125,39176,8,33290,36730,33345,33526,6,39175,33521,38331,33523,2009-04-15 08:41:13
57713,add_access,8626,48781,8,33290,33690,33431,33430,6,36504,33416,33689,33418,2009-05-18 12:35:03
77959,add_access,9212,77960,8,33290,33549,33431,33526,6,37283,33521,34787,33523,2006-04-18 18:01:58
76015,add_access,9661,76016,8,33369,33366,9,38385,6,35694,2,33365,4,2009-12-30 08:22:03
54562,add_access,8485,54563,8,33290,35926,33431,33604,6,42768,33339,34566,33341,2009-09-28 14:12:14
39405,add_access,7303,33933,8,33369,33366,33309,33370,6,33932,2,33365,4,2009-11-16 22:21:48
68136,add_access,6899,42384,8,33290,33775,33289,34780,6,36343,33283,33323,33285,2010-05-26 09:10:21
46334,remove_access,8244,46335,8,33290,35410,9,33863,6,35448,33316,33385,33317,2008-02-25 04:14:53
35554,add_access,9148,35556,8,33844,33928,33309,33930,6,35555,33426,33927,33428,2010-06-22 15:49:10
44538,remove_access,2299,44539,8,33504,33775,33289,11,6,40854,33283,34193,33285,2010-08-24 15:14:32
65255,add_access,10497,56788,8,33422,35212,33326,33347,6,40761,33416,34542,33418,2009-12-22 16:48:31
55703,add_access,9795,33308,8,33296,33279,33309,11,6,35182,2,3,4,2005-11-07 16:07:54
39129,add_access,3141,39131,8,33290,34862,9,33526,6,39130,33521,34861,33523,2009-06-30 16:35:27
47603,add_access,3155,47604,8,33290,34862,33326,33526,6,46705,33521,34861,33523,2009-12-18 09:46:48
54865,add_access,9079,33862,8,33290,42721,9,33863,6,42720,33316,33385,33317,2010-06-11 11:22:20
39174,add_access,3198,39176,8,33290,36730,33345,33526,6,39175,33521,38331,33523,2010-01-11 09:20:57
53256,add_access,11096,33518,8,33290,33602,9,33430,6,47152,33299,33601,33301,2006-09-25 15:10:40
45152,remove_access,9670,45153,8,33290,34041,33289,33678,6,33786,33426,33675,33428,2006-02-10 09:56:54
44198,add_access,9447,33518,8,33388,34556,33289,33430,6,44199,33316,34024,33317,2009-12-28 10:08:35
60467,add_access,7361,34568,8,33290,33593,9,34569,6,44868,33416,33529,33418,2009-12-03 11:28:35
59566,add_access,10786,59567,8,33290,34956,9,34569,6,34955,33416,33476,33418,2008-03-14 17:54:20
73480,add_access,3210,44690,8,33290,33549,33289,33526,6,43909,33521,34787,33523,2008-07-30 10:47:32
42367,add_access,10811,33518,8,33290,33517,9,33430,6,42368,33357,33458,33359,2010-03-24 17:23:34
61721,add_access,5818,61722,8,33290,42268,9,33863,6,42267,33299,33395,33301,2009-09-08 09:04:54
61941,add_access,8557,36431,8,33290,33396,9,33430,6,33394,33299,33395,33301,2007-09-05 14:34:06
76650,add_access,9216,33478,8,33290,33530,33431,33430,6,43490,33416,33529,33418,2009-01-28 13:05:45
42725,add_access,8557,34557,8,33290,33602,9,33430,6,35104,33299,33601,33301,2007-03-30 15:16:37
66109,add_access,3163,35162,8,33408,33366,33289,33370,6,41077,2,33365,4,2010-03-04 14:05:00
62988,remove_access,10050,62990,8,33290,53382,33326,33526,6,62989,33521,34787,33523,2005-08-19 10:06:49
48590,add_access,10127,33622,8,33290,36490,9,33604,6,44551,33283,33284,33285,2007-03-23 01:23:31
50071,add_access,7378,50072,8,33290,34573,33326,33291,6,43712,33283,34572,33285,2009-01-29 08:48:35
40047,remove_access,9811,40049,8,33904,40048,33326,11,6,34609,2,34610,4,2009-02-23 08:33:08
52106,add_access,4179,7,8,33455,33453,9,11,6,52107,2,3,4,2010-04-01 08:24:02
74074,remove_access,8460,33518,8,33290,36505,9,33430,6,42427,33416,33689,33418,2010-08-02 14:55:15
76369,add_access,6992,76370,8,34913,34412,33289,33595,6,47486,33283,34411,33285,2008-10-15 13:58:32
60700,add_access,8439,60701,8,33904,33902,33431,33430,6,36605,2,33730,4,2008-02-25 09:41:05
72739,add_access,2332,7,8,33296,33553,9,11,6,38895,2,3,4,2009-11-09 14:23:45
63587,add_access,6994,36296,8,33290,34573,33289,33291,6,63437,33283,34572,33285,2009-10-14 12:24:38
66921,add_access,7654,40783,8,33296,36385,33289,33657,6,41343,2,33730,4,2006-09-22 03:32:57
49258,add_access,8886,34560,8,33290,33396,9,33430,6,39466,33299,33395,33301,2009-07-01 13:34:53
54782,add_access,2242,54783,8,33346,33598,9,33430,6,45293,33339,33895,33341,2010-06-02 16:02:32
76168,add_access,11008,76169,33777,33290,35374,33345,33461,6,42248,33426,33675,33428,2005-11-08 10:00:00
45438,add_access,10105,37491,8,33290,33731,9,33905,6,45439,2,33730,4,2010-04-12 11:19:46
49801,remove_access,3292,49803,8,33290,35018,33289,33347,6,49802,33347,35017,33502,2010-07-01 13:49:57
76867,add_access,8253,33518,8,33290,34251,9,33430,6,47339,2,33730,4,2008-03-17 14:33:45
50616,remove_access,10234,49482,8,33408,33366,33289,33370,6,35694,2,33365,4,2009-01-08 12:47:02
41771,add_access,10632,41772,8,33290,34041,33289,33678,6,33786,33426,33675,33428,2008-11-03 08:30:26
56856,add_access,7185,34568,8,33290,33621,33431,34569,6,37088,33426,33621,33428,2010-02-17 08:42:23
39094,remove_access,9202,39096,8,33290,33667,33431,33291,6,39095,33283,33666,33285,2010-08-03 10:41:41
55572,add_access,5408,33336,8,33313,33279,33275,11,6,33754,2,3,4,2010-08-24 17:34:40
59111,remove_access,7654,33518,8,33290,35835,33289,33430,6,59112,33316,33385,33317,2009-10-07 10:57:05
45092,remove_access,9682,45094,8,33290,35516,33289,33291,6,45093,33416,33529,33418,2009-03-03 11:27:44
70224,add_access,6946,40437,8,33290,35207,33289,33526,6,40436,33521,34787,33523,2008-10-02 16:04:05
50779,add_access,4828,41027,33751,33290,33667,33431,33291,6,38301,33283,33666,33285,2010-02-12 08:51:35
60551,remove_access,6466,60552,8,33313,33300,33431,33678,6,36897,2,34181,4,2009-01-21 14:47:55
68502,add_access,3210,35231,8,33290,33549,33309,33526,6,37900,33521,34787,33523,2008-05-07 08:23:48
45310,add_access,9710,33518,8,33290,38508,9,33430,6,43899,33339,35272,33341,2008-05-20 08:50:44
75386,add_access,9828,34067,8,10,33273,33275,11,6,36265,2,3,4,2005-11-07 16:27:01
45502,add_access,7489,45503,8,33290,36805,33326,33930,6,36996,33426,33927,33428,2009-04-24 11:09:23
61945,add_access,8230,61946,8,35275,37043,9,33461,6,37042,33339,35884,33341,2010-01-26 08:51:36
54789,remove_access,9723,34936,8,33290,36430,9,33712,6,37017,33521,36430,33523,2005-11-18 12:15:28
60964,add_access,9724,33336,8,33296,33307,33275,11,6,33963,2,3,4,2008-09-25 09:17:10
68005,remove_access,8453,68006,8,33296,33307,33309,11,6,37836,2,3,4,2010-04-08 08:34:15
75892,remove_access,9811,51409,33344,33346,35027,33345,33526,6,33338,33339,33895,33341,2010-06-04 17:40:57
72465,add_access,3312,40456,8,33290,33667,33431,33291,6,44126,33283,33666,33285,2010-08-03 15:50:07
77063,add_access,2513,77064,8,33290,35475,33326,35477,6,68773,33357,35474,33359,2008-10-22 09:00:27
74418,remove_access,10080,33518,8,33290,33731,9,33430,6,39600,2,33730,4,2009-02-11 19:32:52
47732,add_access,7101,47734,33777,33290,33775,33431,33291,6,47733,33283,33323,33285,2009-11-12 10:37:06
44055,add_access,11336,34936,8,33290,34491,33431,33712,6,34571,33283,33358,33285,2009-05-29 15:44:03
66643,remove_access,9087,33691,8,33290,37199,33431,33430,6,38848,33316,34024,33317,2006-05-09 11:20:51
43984,add_access,7190,43986,8,33290,34412,33289,34780,6,43985,33283,34411,33285,2009-10-14 10:25:00
76586,add_access,8408,33336,8,33313,33279,33275,11,6,34606,2,3,4,2009-12-11 15:24:45
44867,add_access,7830,44869,8,33290,37037,33431,34569,6,44868,33416,33529,33418,2008-09-23 17:05:57
70109,remove_access,8557,44503,8,33290,33448,33326,33430,6,39451,33283,33447,33285,2009-05-06 10:41:37
53022,add_access,8219,36533,8,33290,35112,9,33291,6,53023,33416,33529,33418,2008-04-22 09:23:22
63720,add_access,9971,63721,8,33388,35491,33326,44780,6,44778,33316,34256,33317,2010-02-17 19:24:56
38725,add_access,2664,36521,8,33290,34662,9,33291,6,36520,33283,36494,33285,2009-07-02 15:27:55
56841,add_access,7778,33531,8,33290,33866,33326,33430,6,35668,33299,33866,33301,2009-05-18 15:28:12
78130,add_access,3300,44837,35217,35218,35215,33431,600,6,45692,33339,35215,33341,2010-03-19 13:19:38
39317,add_access,7737,33489,8,10,33438,33275,11,6,33876,2,3,4,2009-12-30 14:57:04
57509,add_access,3153,35660,8,33290,35159,9,33526,6,57510,33521,35659,33523,2010-04-27 16:28:33
47900,add_access,9729,33308,8,33313,33307,33309,11,6,33561,2,3,4,2005-11-04 17:14:21
61812,add_access,11008,44503,8,33290,35132,33326,33430,6,37339,33283,33447,33285,2008-06-09 09:26:22
42906,add_access,10160,33622,8,33290,33602,9,33604,6,38631,33299,33601,33301,2009-10-13 10:08:14
35118,remove_access,8625,35120,8,33313,34200,9,33657,6,35119,2,33730,4,2008-04-30 11:05:36
59566,add_access,3660,59567,8,33290,34956,9,34569,6,34955,33416,33476,33418,2008-12-30 08:44:59
70758,remove_access,9620,70759,33777,33290,33775,33345,34577,6,34218,33283,33323,33285,2005-08-16 08:05:31
44722,add_access,9674,44723,8,33290,34573,33345,33291,6,42121,33283,34572,33285,2009-12-29 08:44:32
70105,add_access,2303,70106,8,33290,41291,34576,38255,6,46521,33339,36136,33341,2010-07-20 13:56:27
61149,add_access,5549,36431,8,33290,36928,9,33526,6,42549,33521,36927,33523,2010-04-01 08:40:09
76826,add_access,8785,38266,8,33290,36667,33431,34435,6,49649,33339,34566,33341,2007-09-20 09:41:24
52971,add_access,11040,52972,8,33290,35207,33326,33526,6,41993,33521,34787,33523,2005-11-08 10:00:00
40143,add_access,10080,40144,8,33313,35285,33326,11,6,33995,2,3,4,2009-03-26 17:13:31
34948,add_access,8888,33518,8,33290,33936,9,33430,6,33935,33283,33447,33285,2009-07-01 13:30:37
45265,add_access,8557,33518,8,33290,44155,9,33430,6,44154,33283,33447,33285,2008-08-25 09:16:40
55386,remove_access,9652,41957,8,33408,33366,33309,33370,6,35122,2,33365,4,2009-06-05 15:28:18
38522,remove_access,7190,35556,8,33844,33928,33309,33930,6,35555,33426,33927,33428,2010-08-11 05:25:48
64617,add_access,11046,33622,8,33290,39171,9,33930,6,40891,33426,33927,33428,2009-12-29 08:48:08
43098,add_access,7845,33708,8,33290,35881,33268,33270,6,35880,33426,35335,33428,2010-07-21 15:24:49
64523,add_access,9099,64524,8,33313,33438,33268,33270,6,35245,2,33265,4,2009-11-02 09:34:17
48405,remove_access,6946,33518,8,33290,35132,33431,33430,6,35131,33283,33447,33285,2008-09-02 14:28:48
69077,add_access,4870,34226,8,33290,33545,33268,33270,6,33543,33521,33544,33523,2010-06-11 08:45:01
50042,add_access,10798,33518,8,33290,40767,33431,33430,6,40766,33283,33284,33285,2010-08-31 14:28:02
39807,add_access,8248,33862,8,33290,33861,9,33863,6,39808,33299,33395,33301,2008-08-18 09:34:14
76436,add_access,2301,45383,8,33313,33467,33326,11,6,43122,2,3,4,2010-02-14 12:37:11
72310,add_access,9795,33489,8,33296,33307,33275,11,6,35256,2,3,4,2005-11-07 16:28:00
52195,remove_access,9919,33862,8,33290,42721,9,33863,6,42720,33316,33385,33317,2010-08-16 10:00:05
65812,add_access,8628,42884,8,33313,33438,33289,33526,6,42883,2,3,4,2008-03-31 11:43:21
60179,add_access,10687,33518,8,33290,34480,9,33430,6,49080,33316,34024,33317,2007-06-14 09:24:28
54003,add_access,3610,46013,34572,33290,34573,33431,33291,6,43712,33283,34572,33285,2010-03-19 09:22:09
69734,add_access,10460,33518,8,33290,37037,9,33430,6,51996,33416,33529,33418,2009-01-19 08:36:42
38002,add_access,9652,33413,8,33408,33406,33309,33370,6,34001,2,33365,4,2009-10-27 10:24:10
38964,add_access,8793,38966,8,33904,34935,33345,33430,6,38965,2,34181,4,2010-06-16 10:22:36
65897,add_access,9206,65898,8,33290,42268,33431,33863,6,49288,33299,33395,33301,2006-10-03 15:32:43
45883,add_access,9683,45884,8,33290,35374,9,37073,6,44004,33426,33675,33428,2009-10-12 00:13:53
39307,remove_access,9800,33622,8,33290,39309,33431,33604,6,39308,33416,33529,33418,2006-09-19 02:11:24
77837,add_access,3163,40254,8,33290,36088,33326,33526,6,36086,33521,36087,33523,2009-11-30 08:44:53
63089,add_access,7348,33947,8,33290,49910,9,33430,6,43490,33416,33529,33418,2010-02-26 10:43:09
69842,add_access,9871,33518,33777,33290,34793,33289,33430,6,39867,33299,33601,33301,2010-03-29 07:45:52
73411,remove_access,8734,35428,8,33290,35427,33431,33526,6,57222,33521,35427,33523,2008-06-11 10:18:37
45087,add_access,3141,33518,8,33290,40724,9,33430,6,40723,33416,35971,33418,2009-09-24 15:25:00
71266,add_access,9865,71267,8,33290,34433,33431,600,6,53239,33283,34432,33285,2009-07-28 11:13:31
73012,add_access,8253,73013,8,33290,39309,33326,33604,6,33528,33416,33529,33418,2010-02-05 01:04:26
76118,add_access,3608,76119,48440,33290,35551,9,33423,6,48438,33283,33584,33285,2009-04-23 15:30:41
57425,add_access,9315,55210,8,33290,37995,33431,33430,6,40850,33357,37994,33359,2010-03-29 18:14:10
42467,add_access,8035,42469,8,34210,34222,33289,33968,6,42468,33416,34207,33418,2010-02-02 09:55:56
45815,add_access,10591,38144,8,33290,33999,9,33430,6,33998,33426,33427,33428,2009-07-10 18:35:47
49586,add_access,7112,34557,8,33290,35374,33431,33430,6,49587,33426,33675,33428,2006-09-21 10:24:21
55091,remove_access,10489,55092,8,33290,36355,33431,33863,6,36354,33416,33689,33418,2008-10-07 08:33:57
74109,add_access,4214,74110,8,33290,35612,33345,33370,6,49119,33416,33529,33418,2009-04-02 15:34:09
69931,add_access,8793,33691,8,33290,35398,9,33430,6,52950,33426,33675,33428,2009-10-16 11:16:22
40312,remove_access,6094,33691,8,33290,34134,33289,33430,6,40313,33416,33476,33418,2010-07-02 12:55:46
61146,add_access,8557,36808,8,33296,33307,33309,11,6,34498,2,3,4,2010-04-02 05:46:20
68915,remove_access,9336,68916,8,33290,33549,33289,33526,6,43909,33521,34787,33523,2010-05-12 17:03:54
42847,add_access,10083,42848,8,33276,33485,33326,11,6,42612,2,3,4,2009-07-22 15:42:40
72302,remove_access,229,33518,8,33290,37199,9,33430,6,37198,33316,34024,33317,2008-11-10 03:50:46
45321,remove_access,2452,45322,8,33369,33366,33289,33370,6,36470,2,33365,4,2009-10-06 08:31:42
67910,add_access,3927,42050,33751,33290,33667,9,33291,6,39095,33283,33666,33285,2009-04-07 08:35:14
58014,add_access,6976,50075,44965,33290,39341,9,33291,6,39340,33283,36494,33285,2008-03-14 15:59:19
